sku,name,category,function,relatives,designer,image,gridorder,neworder
PB5001,Dot 16" Pendant,Ceiling > Pendant,Pendant,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5001nb_1.png,2651.0000,,
PB5005,Dot Stance 13" Rotating Pendant,Ceiling > Pendant,Pendant,Stance,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5005nb_4.png,2653.0000,,
PB5006,Dot Stance 16" Rotating Pendant,Ceiling > Pendant,Pendant,Stance,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5006nb_1.png,2656.0000,,
PB5111,Interlace Expandable Chandelier,Ceiling > Chandelier,Chandelier,Interlace,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5111mbk_1.png,1796.0000,,
PB5115,Orbit 16" Swiveling Pendant,Ceiling > Pendant,Pendant,Orbit,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5115pn_1.png,2663.0000,,
PB1005,Dot Stance 13" Rotating Floor Lamp,Floor > Task,Functional,Stance,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb1005nb_4.png,1203.0000,,
PB2000,Dot 13" Wall Light,Wall > Decorative,Decorative,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2000mbk_1.png,4660.0000,,
PB2003,Dot 13" Caged Wall Light,Wall > Decorative,Decorative,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2003mbk_1.png,4668.0000,,
PB3000,Dot 13" Accent Lamp,Table > Decorative,Decorative,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb3000nb_1.png,857.0000,,
PB5000,Dot 13" Pendant,Ceiling > Pendant,Pendant,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5000nb_1.png,2648.0000,,
PB2020,Dot 16" Articulating Wall Light,Wall > Task,Functional,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2020mbk_1.png,4673.0000,,
PB2050,Bend Large Tall Light,Wall > Decorative,Decorative,Bend,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2050nb_1.png,4374.0000,,
PB2053,Bend Large Square Light,Wall > Decorative,Decorative,Bend,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2053mbk_1.png,4384.0000,,
PB2055,Bend Large Round Light,Wall > Decorative,Decorative,Bend,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2055nb_1.png,4358.0000,,
PB4000,Dot 13" Flush Mount,Ceiling > Flush Mount,Flush Mount,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb4000pn_1.png,3149.0000,,
PB4001,Dot 13" Caged Flush Mount,Ceiling > Flush Mount,Flush Mount,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb4001mbk_1.png,3156.0000,,
PB4003,Dot 16" Flush Mount,Ceiling > Flush Mount,Flush Mount,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb4003nb_1.png,3157.0000,,
PB4004,Dot 16" Caged Flush Mount,Ceiling > Flush Mount,Flush Mount,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb4004mbk_1.png,3158.0000,,
PB5002,Dot 9" Pendant,Ceiling > Pendant,Pendant,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5002mbk_1.png,2643.0000,,
PB5003,Dot 22" Pendant,Ceiling > Pendant,Pendant,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5003nb_1.png,2652.0000,,
PB5200,Dot Large Triple Pendant,Ceiling > Linear,Linear,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5200nb_1.png,2919.0000,,
PB2052,Bend Medium Square Light,Wall > Decorative,DECORATIVE,Bend,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2052pn_4.png,4360.0000,,
PB2070,Quarter Sphere Small Up Light,Wall > Decorative,DECORATIVE,Quarter Sphere,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb2070nbfg_1.png,4340.0000,,
PB5010,Farmhouse Dot 13" Pendant,Ceiling > Pendant,PENDANT,Dot,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5010sc_1.png,2639.0000,,
PB5020,60/40 Dot 16" Pendant,Ceiling > Pendant,PENDANT,60/40,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5020stb_1.png,2638.0000,,
PB5022,60/40 Dot 22" Pendant,Ceiling > Pendant,PENDANT,60/40,Peter Bristol,https://www.circalighting.com/media/catalog/product/p/b/pb5022stb_1.png,2637.0000,,
